,city,latitude,longitude,Temperature,humidity,windspeed,cloudiness,country,date
0,victoria,22.2855,114.1577,87.85,83,5.99,7,HK,1660619551
1,san quintin,30.4833,-115.95,71.67,86,9.86,2,MX,1660619691
2,port moresby,-9.4431,147.1797,87.22,66,11.5,40,PG,1660619748
3,fortuna,40.5982,-124.1573,61.93,90,8.05,100,US,1660619698
4,vanavara,60.34,102.2797,50.13,95,8.77,100,RU,1660619749
5,polson,47.6936,-114.1632,75.22,40,4.12,0,US,1660619750
6,plettenberg bay,-34.0527,23.3716,54.77,35,5.28,100,ZA,1660619750
7,la ronge,55.1001,-105.2842,65.34,65,7.09,33,CA,1660619614
8,port alfred,-33.5906,26.891,53.73,56,9.69,100,ZA,1660619364
